facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd
#10 SUNSET DRIVE,#10 SUNSET DRIVE,CHERRY HILLS VILLAGE,CO,80113,110072074700,,39.649123,-104.962717,COR428726,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072074700,
#2511057 WSR,FOX HILLS RD AND W BELLEVIEW AVE,MORRISON,CO,80465,110072104156,,39.61473,-105.179605,COR429381,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072104156,
#25862 CO 71 RESURFACING,CO 71 & WCR 84,STONEHAM,CO,80754,110071995366,,40.595981,-103.60057,COR428158,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071995366,
*DUP* HOLCIM - TIER 2 *DUP*,3500 STATE HWY 120,FLORENCE,CO,80906,110071879729,,38.386512,-105.017109,COR425697,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071879729,
"00842-543,00842-254 WM FUEL STATION & REMODEL, PUEBLO, CO",4180 DILLON DRIVE,PUEBLO,CO,81008,110071903551,,38.312481,-104.610475,COR426551,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071903551,
00905-543 WM FUEL STATION LONGMONT CO,2285 E KEN PRATT BLVD,LONGMONT,CO,80504,110071905101,,40.142441,-105.129918,COG081233 COR426379,Failure to Report DMR - Not Received,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110071905101,
"02892-1000 WM FUEL STATION PARKER, CO",11105 S. PARKER RD.,PARKER,CO,80134,110071952857,,39.514544,-104.764473,COR426931,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071952857,
"03082-543 WM FUEL STATION COLORADO SPRINGS, CO",1606 S. ACADEMY BLVD,COLORADO SPRING,CO,80916,110071913176,,38.80901,-104.75765,COR426555,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071913176,
"03582-543 WM FUEL STATION COLORADO SPRINGS, CO",1575 SPACE CENTER DR.,COLORADO SPRINGS,CO,80915,110071904397,,38.856628,-104.721092,COR426553,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071904397,
0456 - CENTRAL AVE BRIDGE REPLACEMENT,5660 CENTRAL AVE,BOULDER,CO,80301,110072074263,,40.01965,-105.22151,COG317234 COR428424,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072074263,
0496 - CITY OF LONGMONT - ST VRAIN GREENWAY PH13,CO-119 AND CR 5.5,LONGMONT,CO,80504,110072145508,,40.160513,-105.011986,COG081438,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072145508,
0496 - CITY OF LONGMONT - ST. VRAIN GREENWAY PH.13,10916 COUNTY RD 5,LONGMONT,CO,80504,110072106276,,40.16026,-105.01772,COR429259,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072106276,
0500 - CDOT - BROWNS PARK CULVERT REPLACEMENT,1318 SH 318,MAYBELL,CO,81640,110072194176,,40.866015,-109.024519,COG081508,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072194176,
"05051-543 WM FUEL STATION GREELEY, CO",920 47TH AVE,GREELEY,CO,80634,110071782296,,40.422458,-104.752017,COR422554,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071782296,
0506 - PITKIN COUNTY REDSTONE S BRIDGE RPLCMNT PROJECT,HWY 133 / REDSTONE BLVD,REDSTONE,CO,81623,110072145645,,39.180866,-107.240864,COG081436,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072145645,
0513 - GARTRELL ROAD BRIDGE WIDENING,GARTRELL ROAD / E-470,AURORA,CO,80016,110072164259,,39.576944,-104.723889,COR430437,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072164259,
"1 MG WTP, AKA LOWER PLANT",41576 LAMBORN MESA RD,DELTA COUNTY,CO,81428,110043273551,,38.85167,-107.58369,COG641134,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110043273551,
1.5 MG ELEVATED WATER TANK,10277 WCR 76.5,SEVERANCE,CO,80550,110071408880,,40.544834,-104.876809,COR419849,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071408880,
10 WILDROSE TRAIL,10 WILDROSE TRAIL,CHERRY HILLS VILLAGE,CO,80113,110072076461,,39.65153,-104.95227,COR428293,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072076461,
100 ST PAUL,100 ST PAUL ST,DENVER,CO,80206,110056126972,,39.71807,-104.95112,COG315289 COG315532 COG318008,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110056126972,
"1001-543, 1001-252 PUEBLO, CO - WM FUEL STATION & REMODEL, PUEBLO, CO",4050 W. NORTHERN AVENUE,PUEBLO,CO,81005,110071781727,,38.234342,-104.664103,COR420596,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071781727,
1024 19 RD LLC,1024 19 RD,FRUITA,CO,81521,110071409175,,39.151882,-108.700631,COR419771,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071409175,
103 WOOD ROSE LANE,103 WOOD ROSE LANE,DURANGO,CO,81301,110070743524,,37.271772,-107.926172,COR408605,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070743524,
104 AVE PROFESSIONAL AND MEDICAL CENTER,104 AVE AND POTOMAC ST,COMMERCE CITY,CO,80022,110064733123,,39.8861,-104.829166,COR03G147 COR403305,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064733123,
1040 SANTA FE DRIVE,1040 SANTA FE DRIVE,DENVER,CO,80204,110071369676,,39.732954,-104.998531,COR419084,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071369676,
104TH COMMERCE PARK,NE OF E 104TH AVE AND JOLIET ST,COMMERCE CITY,CO,80640,110070926657,,39.88563,-104.86049,COR411584,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070926657,
104TH COMMERCE PARK - LOT 4,11511 E. 104TH - 104TH COMMERCE PARK (A PORTION OF,COMMERCE CITY,CO,80640,110072202576,,39.887537,-104.858981,COR431057,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072202576,
"10763 TURNER BOULEVARD, LONGMONT, COLORADO 80504","10763 TURNER BOULEVARD, LONGMONT, COLORADO 80504",LONGMONT,CO,80504,110071897532,,40.15731,-104.98131,COPIU008R,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071897532,
1095 CANYON BLVD. LTD.,1095 CANYON BOULEVARD,BOULDER,CO,80302,110033164910,,40.015556,-105.2825,COG072682 COG318053 COG603125,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110033164910,
10TH & CHEROKEE,990 CHEROKEE STREET,DENVER,CO,80204,110071427094,,39.73203,-104.99148,COR420451,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071427094,
10TH AVENUE RESIDENCES,8210 W 10TH AVE,LAKEWOOD,CO,80214,110071821591,,39.73237,-105.08971,COR424504 COUT00315,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071821591,
1111 TOWER - FOUR SEASONS HOTEL,1111 14TH STREET,DENVER,CO,80202,110032939658,721110,39.74635,-104.99854,COG072676,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110032939658,
11250 WADSWORTH PARKWAY (DG/DE),INTERSECTION OF WADSWORTH PARKWAY AND W 116TH CIR,BROOMFIELD,CO,80021,110071816150,,39.903549,-105.096492,COR424164,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071816150,
112TH AVE WIDENING,112TH AVE + YORK ST,THORNTON,CO,80233,110070563642,,39.89944,-104.94915,COR405269,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070563642,
112TH AVE-UPTOWN AVE,112TH AVENUE,BROOMFIELD,CO,80020,110071506249,,39.900117,-105.078224,COR421224,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071506249,
1130 & 1170 WILLOUGHBY WAY,1170 WILLOUGHBY WAY,ASPEN,CO,81611,110071904009,,39.208022,-106.831999,COR426289,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071904009,
1144 15 STREET,1144 15 ST,DENVER,CO,80202,110059790588,,39.747204,-104.997249,COG315315 COG318005 COR03M637,Terminated Permit,,,Y,5,https://echo.epa.gov/detailed-facility-report?fid = 110059790588,
115 ELEVATION DRIVE,115 ELEVATION DRIVE,DURANGO,CO,81301,110072074031,,37.223381,-107.81726,COR428598,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072074031,
1155 CANYON CONDOMINIUMS,1155 CANYON BLVD,BOULDER COUNTY,CO,80302,110024815976,,40.016667,-105.3,COG072204 COG318082 COG603165,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110024815976,
11681 PROGRESS LANE,11681 PROGRESS LANE,PARKER,CO,80134,110071816015,,39.53244,-104.76907,COR424289,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071816015,
119 SELF STORAGE,HWY 119 AND CR 25,LONGMONT,CO,80504,110070548086,,40.15985,-105.03153,COR03V039 COR405125,Terminated Permit,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110070548086,
11988 COLORADO 103,11988 COLORADO 103,IDAHO SPRINGS,CO,80452,110071953652,,39.74464,-105.53318,COR427318,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071953652,
11TH AVE EXTENSION,4911 W 11TH AVE,DENVER,CO,80204,110071816942,,39.734,-105.05069,COR424098,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071816942,
12 AND WELLINGTON DEVELOPMENT,N 12 ST AND WELLINGTON AVE,GRAND JUNCTION,CO,81501,110070505894,,39.08972,-108.55194,COR03U470 COR401850,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070505894,
"12"" AVON TO RIFLE - MAMM CREEK",WEST OF MAMM CREEK ROAD/CO. RD 315,UNINCORPORATED,CO,81652,110072203595,,39.518793,-107.692944,COR430835,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072203595,
1201-1245 QUIVAS STREET DEMOLITION,1201 QUIVAS STREET,DENVER,CO,80204,110072130923,,39.73541,-105.00778,COR429597,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072130923,
120TH PIT,10701 E 120 AVE,HENDERSON,CO,80640,110033012923,,39.914722,-104.8625,COG501500 COG501530,Failure to Report DMR - Not Received,,,Y,9,https://echo.epa.gov/detailed-facility-report?fid = 110033012923,
120TH STREET MULTIMODAL SAFETY IMPROVEMENT,120TH STREET,LAFAYETTE,CO,80026,110072181027,,39.968169,-105.071899,COR430547,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072181027,
123 GRAND MESA DR,COBBLE DR AND GRAND MESA DR,MONTROSE,CO,81403,110071156296,,38.442323,-107.881854,COR414630,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071156296,
123 SPEER,123 SPEER BLVD.,DENVER,CO,80203,110072082067,,39.7263,-104.98585,COR428524,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072082067,
1239 TWIN BUTTES AVE,1239 TWIN BUTTES AVE,DURANGO,CO,81301,110071439042,,37.273857,-107.928284,COR419010,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071439042,
1256 CATTLE COMPANY,26795 US HIGHWAY 34,WRAY,CO,80758,110031105435,,40.075052,-102.310884,COA931045 COA934045,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110031105435,
1271 BURT AVENUE,1271 BURT AVENUE,BERTHOUD,CO,80513,110071727755,,40.287827,-105.094494,COR423220,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071727755,
"1277 ELIZA AVE, BERTHOUD CO 80513",1277 ELIZA AVE,BERTHOUD,CO,80513,110071784336,,40.28977,-105.09421,COR423635,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071784336,
1295 RED BUTTE DR,1295 RED BUTTE DR,ASPEN,CO,81611,110071994339,,39.20647,-106.83622,COG081286,Failure to Report DMR - Not Received,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110071994339,
130 BELL FLOWER COURT,130 BELL FLOWER COURT,DURANGO,CO,81302,110071932675,,37.276504,-107.929636,COR427134,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071932675,
1301 CANYON CONDOMINIUM,13 AND CANYON,BOULDER,CO,80302,110063216425,,40.020833,-105.266667,COG318084 COG603263,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110063216425,
132 PLACER LANE,132 PLACER LANE,ASPEN,CO,81611,110071905970,,39.200812,-106.816386,COR425989,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071905970,
13455 S RESORT DR,13455 S RESORT DR,CONIFER,CO,80433,110071410055,,39.471057,-105.304499,COR419845,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071410055,
1377 SCULPTOR DR,1377 SCULPTOR DRIVE,LOVELAND,CO,80537,110072180497,,40.406274,-105.035134,COR430637,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072180497,
1380 RIVERSIDE,1380 RIVERSIDE DR,ASPEN,CO,81611,110072192157,,39.18411,-106.80854,COG081498,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072192157,
1390 13TH STREET,1390 13 ST,STEAMBOAT SPRINGS,CO,80487,110072200560,,40.49056,-106.84833,COG081516,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072200560,
1393 CO RD. 166,1393 CO. RD. 166,PARKER,CO,80138,110070673984,,39.463322,-104.636141,COR407535,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070673984,
13TH STREET SIDEWALK IMPROVEMENTS,13TH STREET + GILPIN,STEAMBOAT SPRINGS,CO,80487,110070599187,,40.488789,-106.844421,COR406382,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070599187,
14000 CR 240 WEBB HOUSE,14000 CR 240,DURANGO,CO,81301,110071359719,,37.359751,-107.670744,COR418555,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071359719,
1401 WYNKOOP PARKING GARAGE,1400 WEWATTA ST,DENVER COUNTY,CO,80202,110037942171,,39.7502,-105.00474,COG318069 COG603107,Effluent - Monthly Average Limit,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110037942171,
140TH AVENUE AND GRANT STREET PROJECT,NONE PROVIDED,THORNTON,CO,80023,110072108807,,39.947937,-104.980621,COD000009,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072108807,
1450 INFINITE DRIVE,1450 INFINITE DRIVE,LOUISVILLE,CO,80027,110071077400,,39.9675,-105.17421,CONOX0603,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071077400,
1450 SHILOH STREET,1450 SHILOH STREET,WHITEWATER,CO,81527,110071934056,,38.98931,-108.41593,COR427078,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071934056,
14557 GALENA CT,14557 GALENA CT,BRIGHTON,CO,80602,110072174580,,39.96126,-104.86883,COR430541,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072174580,
15 CHERRY HILLS DRIVE,15 CHERRY HILLS DRIVE,CHERRY HILLS VILALGE,CO,80113,110071866216,,39.646425,-104.967212,COR425008,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071866216,
15 ROAD PIT,1505 HWY 6 AND 50,FRUITA,CO,81521,110013405886,,39.166964,-108.774478,COG500437,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110013405886,
15 SABLE FILING 1,15 SABLE BOULEVARD,AURORA,CO,80011,110071439608,,39.717104,-104.819991,COR420624,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071439608,
1501 E LAYTON AVE,1501 E LAYTON AVE,CHERRY HILLS VILLAGE,CO,80209,110071401882,,39.629976,-104.969712,COR419390,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071401882,
1515 VRAIN ST,1515 VRAIN ST,DENVER,CO,80202,110070201815,,39.747222,-104.997778,COG315506 COG315547 COG318004,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110070201815,
1515 WYNKOOP STREET,1515 WYNKOOP STREET,DENVER,CO,80202,110031267304,,39.751111,-105.001944,COG072628 COG318041 COG603115 COG604047,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110031267304,
1530 WEST 13TH AVENUE DEMOLITION,1530 WEST 13TH AVENUE,DENVER,CO,80204,110072132142,,39.73688,-105.00737,COR429595,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072132142,
1536 KINGMICK COURT-ADAMO,1536 KINGMICK COURT,CASTLE ROCK,CO,80104,110071375200,,39.313209,-104.857807,COR419223,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071375200,
15440 HWY 6,15440 HWY 6,EAGLE,CO,81631,110072132603,,39.647054,-106.857239,COR429857,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072132603,
1565 N COLORADO BLVD,1565 N COLORADO BLVD,DENVER,CO,80220,110072102638,,39.74132,-104.94078,COR428972,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072102638,
1590 NEWPORT RD HAMMERS,1590 NEWPORT RD,COLORADO SPRINGS,CO,80916,110072166071,,38.808013,-104.72708,COR430453,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072166071,
16 A AND 16 B PONDS,38 AVE AND HIMALAYA,AURORA,CO,80011,110064767925,,39.7675,-104.758333,COR03M629 COR401036,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064767925,
16 ROAD SCHOOL BUS PARKING LOT,1615 L ROAD,FRUITA,CO,81521,110072075468,,39.178738,-108.754393,COR428297,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072075468,
16 W DRY CREEK APARTMENTS,16 W DRY CREEK CIRCLE,LITTLETON,CO,80120,110072165488,,39.58231,-104.99225,COR430449,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072165488,
160 AVE AND GRANT ST,160 AVE AND GRANT ST,THORNTON,CO,80023,110064758258,,39.975844,-105.009381,COR03O291 COR03T532 COR402260 COR402466,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064758258,
1601 COLORADO APTS,1601 COLORADO BLVD,DENVER COUNTY,CO,80220,110030439023,,39.74193,-104.94077,COG318086 COG600967 COG603087,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110030439023,
1601 WEWATTA,1601 WEWATTA ST,DENVER,CO,80202,110056136827,,39.753,-105.002,CO0000008,No Violation Identified,,,Y,5,https://echo.epa.gov/detailed-facility-report?fid = 110056136827,
161 WILD CHIVES CT,161 WILD CHIVES CT,DURANGO,CO,81301,110071997269,,37.270579,-107.925075,COR428002,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071997269,
1610 13TH ST,1610 13 ST,STEAMBOAT SPRINGS,CO,80487,110072076055,,40.49187,-106.8513,COG081502 COR428436,Violation Identified,,,Y,1,https://echo.epa.gov/detailed-facility-report?fid = 110072076055,
1640 E LAYTON,1640 E LAYTON DR,ENGLEWOOD,CO,80113,110071961614,,39.62852,-104.96636,COR427792,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071961614,
164TH AVE. AND YORK STREET SUBDIVISION,164TH AVE. AND YORK STREET,THORNTON,CO,80602,110071410218,,39.99323,-104.95966,COR420159,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071410218,
16500 SOUTH GOLDEN ROAD,16500 SOUTH GOLDEN ROAD,GOLDEN,CO,80401,110071205136,,39.73568,-105.18573,COR415270,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071205136,
168TH TO 136TH TWP (2025),"168 AVE TO 136 AVE, ALONG QUEBEC ST",THORNTON,CO,80602,110071996500,,39.971917,-104.903185,COG317217,Effluent - Monthly Average Limit,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110071996500,
16TH STREET MALL IMPROVEMENTS,16TH STREET MALL,DENVER,CO,80202,110071156000,,39.743862,-104.990423,COR414622,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071156000,
1700 SKI TIME SQUARE,1700 SKI TIME SQUARE DRIVE,STEAMBOAT SPRINGS,CO,80487,110072203388,,40.45888,-106.80628,COR431037,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072203388,
1701 PLATTE OFFICE BUILDING,1701 PLATTE ST,DENVER,CO,80202,110070675104,,39.75833,-105.00687,COG315593 COR408018,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070675104,
1767 VISTA VIEW DRIVE,1767 VISTA VIEW DRIVE,LONGMONT,CO,80504,110071728824,,40.160034,-105.022,COR423108,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071728824,
17866 120 CONNECTION PH 2 STA 1281-012,120 AND US 287,BROOMFIELD,CO,80020,110064764740,,39.918,-105.09,COR03M614 COR402383,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110064764740,
1790 LOGAN STREET AND 1799 PENNSYLVANIA STREET,SOUTH OF E 18TH AVE AND EAST OF LOGAN ST,DENVER,CO,80203,110071815561,,39.74451,-104.9821,COR424249,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071815561,
17TH AND SHERIDAN APARTMENTS,EAST OF SHERIDAN BLVD AND SOUTH OF W 17TH AVE,DENVER,CO,80214,110071526211,,39.743758,-105.053085,COR421795,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071526211,
18 AND MARKET ST PROJECT,1840 MARKET ST,DENVER,CO,80202,110070388254,,39.752076,-104.995443,COR03U247 COR403083,Terminated Permit,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070388254,
1800 LARIMER LLC,1800 LARIMER ST STE 1700,DENVER COUNTY,CO,80202,110031105685,,39.75136,-104.99465,COG072570 COG318028 COG603158,Terminated Permit,,,Y,10,https://echo.epa.gov/detailed-facility-report?fid = 110031105685,
19 & 26 LLC LOT 2,8914 ZINNIA AVE,FIRESTONE,CO,80504,110071083435,,40.173585,-104.88847,COR413471,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071083435,
19 AND 26 LLC,19 AND 26 LLC  11737 LOCUST ST,FIRESTONE,CO,80504,110070937377,,40.169765,-104.887784,COR411510 COR425683,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070937377,
19 AND UPLAND AVE GAS MAIN,19 ST AND UPLAND AVE,BOULDER,CO,80304,110069602031,,40.05282,-105.272759,COG075659 COG081289,No Violation Identified,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110069602031,
19 ROAD IMPROVEMENT PROJECT,INTERSECTION OF J ROAD AND 19 ROAD,FRUITA,CO,81521,110071884284,,39.149827,-108.701104,COR426074,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071884284,
19 ROAD IMPROVEMENT PROJECT,INTERSECTION OF J RD AND 19 RD,FRUITA,CO,81521,110071885089,,39.149827,-108.701104,COG081131,Failure to Report DMR - Not Received,,,Y,6,https://echo.epa.gov/detailed-facility-report?fid = 110071885089,
1900 LAWRENCE,1900 LAWRENCE ST,DENVER,CO,80202,110071205559,,39.751269,-104.992174,COG317070 COG318123 COR415185,No Violation Identified,,,Y,2,https://echo.epa.gov/detailed-facility-report?fid = 110071205559,
19201 - US85 LOUVIERS TO 191.75,US85 LOUVIERS TO 191.75,LOUVIERS,CO,80135,110070666519,,39.461543,-104.985292,COR406964,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110070666519,
1928 SEAN COURT,1145 FEET NW OF THE J RD AND 19 1/2 RD,FRUITA,CO,81521,110072072617,,39.151816,-108.694638,COR428538,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072072617,
1931 SEAN COURT,1931 SEAN COURT,FRUITA,CO,81521,110071953902,,39.15126,-108.695633,COR427528 COR428512,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071953902,
1937 ROSE MARIE COURT,415 FEET N/NW OF THE BRDWAY AND S BRDWAY,GRAND JUNCTION,CO,81507,110072083755,,39.102123,-108.692015,COR428806,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072083755,
1941 HEATH PARKWAY,1941 HEATH PKWY,FORT COLLINS,CO,80524,110071662036,,40.583212,-105.040944,COR422727,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071662036,
1942 STRAIGHT ST,1942 STRAIGHT ST,GRAND JUNCTION,CO,81507,110072166092,,39.101548,-108.689916,COR430265,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072166092,
1944 ROSE MARIE CT.,1944 ROSE MARIE CT.,GRAND JUNCTION,CO,81507,110071784269,,39.063932,-108.58741,COR423781 COR430861,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071784269,
1945 HIDDEN HOLLOW CT.,NE OF INTERSECTION AT SOUTH BROADWAY & BROADWAY,GRAND JUNCTION,CO,81507,110072186936,,39.104396,-108.688412,COR430651,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072186936,
1946 HIDDEN HOLLOW CT,1946 HIDDEN HOLLOW CT,GRAND JUNCTION,CO,81507,110072084389,,39.105268,-108.68859,COR429056,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110072084389,
19TH ST MULTIMODAL IMPROVEMENTS,19TH ST BETWEEN SUMAC AVE AND NORWOOD AVE,BOULDER,CO,80304,110071784447,,40.050059,-105.27273,COR423689,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071784447,
19TH STREET & FOURMILE CANYON CREEK UNDERPASS,19TH STREET AND UPLAND AVENUE,BOULDER,CO,80304,110071659575,,40.05279,-105.272732,COR422660,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071659575,
2 RIVERS ROADWAY PROJECT,14822 COUNTY ROAD 396,EVANS,CO,80543,110071933897,,40.3471,-104.77809,COR426739,No Violation Identified,,,Y,0,https://echo.epa.gov/detailed-facility-report?fid = 110071933897,
