facility_name,address,city,state,zip,registry_id,naics_codes,latitude,longitude,npdes_ids,permit_status,is_major,border_facility,active,violations_3yr,dfr_url,design_flow_mgd,facility_type,receiving_waters
UPS FREIGHT COMMERCE CITY,5300 E 56 AVE,COMMERCE CITY,CO,80022.0,110070152687,,39.79832,-104.92491,COR901427,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152687,,,
TWENTYMILE COAL COMPANY,29515 COUNTY ROAD 27,OAK CREEK,CO,80467.0,110000873671,21311 212115 212112,40.341084,-107.027308,CO0027154 CO0036684 CO0042161,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110000873671,4.55,,
TROUT VALLEY RANCH,HWY 285 AND HWY 9,FAIRPLAY,CO,80440.0,110070072900,,39.20116,-105.98831,COG502146,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072900,,,
TRINITY PACKAGING CORP,33500 LOCKHEED AVE,PUEBLO,CO,81001.0,110070152672,323113,38.278185,-104.484012,COR901383,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152672,,,
TRIMAC TRANSPORTATION - GREELEY,2600 2 AVE,GREELEY,CO,80631.0,110069415706,484220 811111 488490 484230,40.396149,-104.680317,COPU00168 COR901313,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069415706,,,
TRI STATE GENERATION CRAIG,2101 S RANNEY,CRAIG,CO,81625.0,110041086393,221112,40.4627,-107.5912,COG074737 COR900399,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110041086393,,,
TRI COUNTY PIT,35569 BACK RIVER RD,DELTA COUNTY,CO,81419.0,110064106925,,38.810833,-107.695278,COG500255 COG500498,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110064106925,,,
TRENWA INC,5424 CR 12,DACONO,CO,80514.0,110046293275,,40.072777,-104.9525,COR900825,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046293275,,,
TRASH COMPANY,723 CR 612,GRANBY,CO,80446.0,110046304708,,40.09,-105.952777,COR900998 COR901395,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046304708,,,
TRAPPER MINING INC,S 5&6 T5NR90W S 29-32 T6NR90W,CRAIG 5.1 MI. S OF,CO,81625.0,110008302522,212111 212299 212114,40.416944,-107.545556,CO0032115,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110008302522,2.5,,
TRANSPORT BUS FACILITY,6570 PORTNER RD,FORT COLLINS,CO,80522.0,110046290759,,40.49569,-105.06613,COR900830,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046290759,,,
TRADE CENTER AUTO SALVAGE GJ,2236 HWY 6 & 50,GRAND JUNCTION,CO,81505.0,110046319989,,39.10655,-108.637221,COR900744,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046319989,,,
ACME DISTRIBUTION,18101 E COLFAX AVE,AURORA,CO,80011,110012253426,49311,39.74026,-104.77786,COR900568,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110012253426,,,
ACE EXPRESS COACHES,14000 W 44 AVE,GOLDEN,CO,80403,110046297850,,39.77624,-105.15843,CONOX0854 COR900064,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046297850,,,
ABC USED PARTS,1143 S ROYER ST,COLORADO SPRINGS,CO,80903,110070152669,,38.818349,-104.815383,COR901378,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152669,,,
A 1 AUTO AND TRUCK RECYCLERS,62651 HWY 50,PENROSE,CO,81240,110060359179,,38.426,-105.066,COR901250,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110060359179,,,
929 PEARL ST DEWATERING SYSTEM,929 PEARL ST,BOULDER,CO,80302,110056399464,,40.0172,-105.28334,COG318093 COG603233,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110056399464,,,
8 MILE CLAY MINE,CR 62 AND BUMBACK GULCH,CANON CITY,CO,81212,110070055118,,38.509851,-105.349484,COG501799,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070055118,,,
70 W TRUCKING - FRASER READY MIX PLANT,2270 COUNTY ROAD 5,FRASER,CO,80442,110007240510,327320,39.966937,-105.85318,COR900799,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110007240510,,,
6 S PIT NO 1,NO ADDRESS GIVEN,PUEBLO,CO,81005,110070054898,,37.9696,-105.0315,COG501722,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070054898,,,
5-2-1 DRAINAGE AUTHORITY,VARIOUS LOCATIONS,GRAND JUNCTION,CO,81501,110044271882,,39.068,-108.563,COR090100,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044271882,,,
5 MILE PIT,208 STONE QUARRY RD (CR 300),PARACHUTE,CO,81635,110069995522,,39.39843,-108.10757,COG501617,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069995522,,,
ALBERT FREI & SONS INC,33501 US HIGHWAY 6 AND I-70/PORTABLE SOURCE,IDAHO SPRINGS,CO,80452,110007239880,212321,39.751111,-105.436389,COG500268,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110007239880,,,
AGRI DLD GRAVEL PIT,CR 307,DURANGO,CO,81301,110070053955,,37.2,-107.783,COG501844,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070053955,,,
AFCO STEEL,31455 COUNTY ROAD 39 1/2,GREELEY,CO,80631,110022515633,332312,40.457802,-104.688843,COR900659,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110022515633,,,
ADVANCE TANK AND CONSTRUCTION,3700 E CR 64,WELLINGTON,CO,80549,110046325008,,40.7125,-105.008333,COR900655,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046325008,,,
ADAMS COUNTY SCHOOL DISTRICT NO 14,VARIOUS LOCATIONS,COMMERCE CITY,CO,80022,110043756272,,39.805,-104.927,COR070043,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110043756272,,,
ADAMS COUNTY PUBLIC WORKS/ENGR,VARIOUS LOCATIONS,WESTMINSTER,CO,80234,110044271695,,39.917,-105.006,COR090041,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044271695,,,
ACTION RECYCLING CENTER,7610 W 42ND AVE,WHEAT RIDGE,CO,80033,110012212051,562920,39.773655,-105.082058,COR901016,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110012212051,,,
ACR RECYCLE FACILITY,2104 JANITELL RD,COLORADO SPRINGS,CO,80906,110070696036,,38.80469,-104.79243,COR901536,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070696036,,,
TRADE CENTER AUTO RECYCLING DELTA,1428 HWY 50,DELTA,CO,81416.0,110046320174,,38.760159,-108.098226,COR900756,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046320174,,,
TRADE CENTER AUTO RECYCLING,713 ARROWEST RD,GRAND JUNCTION,CO,81506.0,110046320165,,39.10651,-108.63723,COR900755,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046320165,,,
TRADE CENTER AUTO RECYCLERS,27925 HWY 6,RIFLE,CO,81650.0,110046316679,,39.536982,-107.747983,COR901021,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046316679,,,
TRACKING PADS LLC,3223 N OAKLAND ST,AURORA,CO,80010.0,110071235106,,39.72377,-104.850049,COR901604,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110071235106,,,
TODD CREEK FARMS METRO DIST #1,UNK,UNK,CO,99999.0,110029519055,,39.966667,-104.866667,CO0047341,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110029519055,0.12,,
TJH STONE QUARRY 1,WEST SIDE OF CR 184,DRY CREEK,CO,81424.0,110070063545,,38.123288,-108.730553,COG501860,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070063545,,,
TIRE MOUNTAIN LLC,12311 CR 41,HUDSON,CO,80642.0,110046336498,,40.178493,-104.67916,COR900952,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046336498,,,
TIMBERS WSD WWTF,SKY VALLEY DR AND MCKINNIS CREEK,STEAMBOAT SPRINGS,CO,0.0,110070030930,,40.383472,-106.793527,COG589146 COX632093 COX634039,Effluent - Monthly Average Limit,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070030930,,,
THOMPSON RESOURCE,919 CR 612,GRANBY,CO,80446.0,110070097749,,40.09815,-105.9485,COG502099,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070097749,,,
THE YORK ON CITY PARK APTS   1781 YORK ST,1782 YORK ST,DENVER,CO,80206,110070097711,,39.744531,-104.95984,CO0049006,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070097711,,,
THE OAK HOUSE,1107 2 ST,BOULDER,CO,80302,110066907903,,40.0075,-105.2775,COG318112 COG603298,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110066907903,,,
AMERICAN IRON & METAL PUEBLO,1801 S LACROSSE AVE,PUEBLO,CO,81006,110002960243,423930,38.25069,-104.58886,COR901178,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110002960243,,,
AMAZON.COM SERVICES DCS3,4303 GRINNELL BLVD,COLORADO SPRINGS,CO,80911,110070630762,493110,38.757749,-104.719199,COR901531 COR901569,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070630762,,,
ALPINE WASTE- EAST REGIONAL LANDFILL,8201 SCHUMAKER RD,BENNETT,CO,80102,110054101716,562212,39.842346,-104.489113,COR900439,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110054101716,,,
ALPINE WASTE RECYCLING AND TRANSFER STATION,645 W 53 AVE,DENVER,CO,80221,110046290893,,39.795833,-104.994444,COR900949 COR901415,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046290893,,,
ALLIED RECYCLED AGGREGATES,7901 HWY 85,COMMERCE CTIY,CO,80022,110044271917,,39.84,-104.92,COR341624 COR901350,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044271917,,,
ALLEN PIT,36377 3700 RD,REDVALE,CO,81431,110070063552,,38.1583,-108.395833,COG501951,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070063552,,,
ALL RIGHT PAVING STONEWALL NO 1 PIT,CR 13 2 N OF TOWN,STONEWALL,CO,81091,110070072889,,37.18041,-105.02215,COG502115,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072889,,,
ALL RIGHT PAVING SHARP GRAVEL PIT,CR JJ WEST OF TOWN,HASTY,CO,81044,110070072888,,38.099661,-102.985436,COG502114,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072888,,,
ALL AUTO RECYCLERS,12655 HIGHWAY 94,COLORADO SPRINGS,CO,80929,110043706175,,38.83544,-104.59453,COR900935,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110043706175,,,
ANN ALLISON #1,NEAR TOWN,LINDON,CO,00000,110014450405,,39.774,-103.419,COG600493 COG840016,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110014450405,,,
ANIMAS AIR PARK,163 FLIGHT LINE RD,DURANGO,CO,81303,110046319275,,37.20611,-107.86668,COR900208,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046319275,,,
ANGLEBOARD PLASTIC PACKAGING,4950 COLORADO BLVD,DENVER,CO,80216,110070152676,,39.78724,-104.94039,COR901400,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070152676,,,
ANDERSENS SALES AND SALVAGE RAIL YARD,31517 CR 39 1/2,GREELEY,CO,80631,110046336522,,40.458469,-104.683652,COR900956,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046336522,,,
ANDERSEN'S SALES & SALVAGE INC,1490 E 8TH ST,GREELEY,CO,80631,110040885600,423930 331492,40.42448,-104.65825,COG073932 COR900742,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110040885600,,,
"ANCHOR DRILLING FLUIDS USA, LLC - PARACHUTE, CO",18 MURRAY CT,PARACHUTE,CO,81635,110070555591,,39.46,-108.053,COR901494,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070555591,,,
AMWARE PALLET SERVICES GUN CLUB RD,1910 N GUN CLUB RD,AURORA,CO,80019,110071180820,,39.74426,-104.70435,COR901593,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110071180820,,,
AMTRAK FUELING STATION AT DENVER UNION STN,18 ST AND WEWATTA ST,DENVER,CO,80202,110056401237,,39.7552,-104.998504,COR901230,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110056401237,,,
AMICK PIT,3690 CR 4,MEEKER,CO,81641,110070051622,,40.006353,-107.88667,COG501939,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070051622,,,
AMERICAN ROCKY MOUNTAINEER 36 ST YARD,3880 WYNKOOP ST,DENVER,CO,80216,110071220478,,39.772791,-104.973898,COR901601,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110071220478,,,
TELLURIDE REGIONAL WWTF,12000 HWY 145,TELLURIDE,CO,81435,110064641375,,37.948611,-107.873333,CO0041840 CONOX0153 CONOX0889,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110064641375,2.1,,
TAYLOR PARK (MURDIE FLATS) PIT,FS 765 AND CR 742,TAYLOR PARK,CO,81230,110070063550,,38.824952,-106.554728,COG501907,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070063550,,,
TARGET DISTRIBUTION CENTER T0554,34800 UNITED AVENUE,PUEBLO,CO,81001,110045534310,493110,38.27916,-104.464591,COR900078,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110045534310,,,
TARAMARCAZ PIT,HWY 50 E AND CR 45,DOYLEVILLE,CO,81239,110070004116,,38.45563,-106.61308,COG501909 COR341325,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070004116,,,
SUTRAK,800 STONE TREE AVENUE,LAMAR,CO,81052,110000467888,332999 325211 326121 423390,38.09962,-102.6091,COR901237,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110000467888,,,
SUSG CORTEZ REDI-MIX BATCH PLANT,10400 CR 25,CORTEZ,CO,81321,110046291507,,37.36478,-108.59017,COR900909,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046291507,,,
SUPERIOR METROPOLITAN DIST NO1,2025 HONEY CREEK LANE,SUPERIOR,CO,80027,110064253677,,39.93796,-105.14164,CO0043010 COG650145,Violation Identified,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110064253677,2.2,,
ATLANTIC AVIATION,105 TOWER CT FBO,HAYDEN,CO,81639,110070600958,,40.480722,-107.2045,COR901520,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070600958,,,
ASTRONAUT KENT ROMINGER AIRPORT,1 BRAVO TAXIWAY,DEL NORTE,CO,81132,110046292301,,37.706944,-106.352777,COR900254,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046292301,,,
ARY AIRPORT PIT,HWY 50 AND AIRPORT,CANON CITY,CO,81212,110070072754,,38.4347,-105.090277,COG501791,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072754,,,
ARVADA CITY OF,THROUGHOUT THE CITY,ARVADA,CO,80403,110030761021,,39.803,-105.087,COG380017 COR090013,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110030761021,,,
ARCOSA ESC BOULDER,11728 HWY 93,BOULDER,CO,80303,110060265172,327992,39.91007,-105.24056,COG501573 COR901251,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110060265172,,,
ARCHULETA COUNTY LANDFILL,9000 TRUJILLO ROAD,PAGOSA SPRINGS,CO,81147,110007240146,562212,37.1566,-107.051666,COR900980,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110007240146,,,
ARAPAHOE COMMUNITY COLLEGE,VARIOUS LOCATIONS,LITTLETON,CO,80120,110043732495,,39.609,-105.019,COR070048,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110043732495,,,
ANTONITO TOWN OF,5376 COUNTY ROAD 14,ANTONITO,CO,81120,110006781198,,37.075,-106.0,CO0040975,Effluent - Non-monthly Average Limit,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110006781198,0.205,,
ANTELOPE HILL PIT,22444 HULTEEN RD,AUSTIN,CO,81410,110070072791,,38.816511,-107.943785,COG501893,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072791,,,
SUNCOR COMMERCE CITY REFINERY - EAST PLANT,5801 BRIGHTON BLVD,COMMERCE CITY,CO,80022,110032913024,324110 32411 424710 48691,39.805556,-104.944444,CO0001147 COG600174 COG604005 COR03I605 COR03I690 COS000009 COU000352,Compliance/Permit Schedule - Violations,Y,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110032913024,3.66,,
SUMMIT VIEW READY MIX,102 S SUMMIT VIEW DR,FORT COLLINS,CO,80524,110070256443,,40.58702,-105.02953,COR901454,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070256443,,,
SULLIVAN AGGREGATE PIT,1.5 MILES N OF TOWN ON ST HWY 9,FAIRPLAY,CO,00000,110070505233,,39.23048,-106.01776,CO0049033,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070505233,,,
SUGAR CUBE BUILDING,16 ST AND BLAKE ST,DENVER,CO,80202,110071083397,,39.75,-104.999,COG318097,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110071083397,,,
STRESSCON DENVER METRO DIVISION,5434 CR 12,ERIE,CO,80910,110020031080,,40.066665,-104.958333,COR900332,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110020031080,,,
STRESSCON CORP,3210 ASTROZON BLVD,COLORADO SPRINGS,CO,80910,110001430924,327390 327320,38.782396,-104.765761,COR900787,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110001430924,,,
STONEWALL SPRINGS QUARRY GRAVEL PIT,SH 96 AND US 50 BY PASS,PUEBLO COUNTY,CO,00000,110070072885,,38.26068,-104.39929,COG502107,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072885,,,
STOLLE MACHINERYCO CENTENNIAL,6949 S POTOMAC ST,CENTENNIAL,CO,80112,110037147913,333517 333513 333512,39.59049,-104.83123,COR900075,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110037147913,,,
STEVENS FIELD,777 CR 600,PAGOSA SPRINGS,CO,81157,110046330920,,37.273155,-107.065427,COR900187,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046330920,,,
BASALITE BUILDING PRODUCTS LLC,3155 DRENNAN RD,COLORADO SPRINGS,CO,80935,110046288432,327331,38.781666,-104.769166,COR900778,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046288432,,,
BARNARD QUARRY,00263 STEAMBOAT VALLEY RP MOUNTAINS,BOULDER COUNTY,CO,80302,110070097748,,40.268,-105.289,COG502047,Compliance/Permit Schedule - Violations,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070097748,,,
BALLYNEAL WWTW,5839 CR FF,HOLYOKE,CO,80734,110038448935,,40.418897,-102.263089,COE045000 COX633002,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110038448935,,,
BALARAT OUTDOOR EDUCATION CENTER,1192 CR 87,BOULDER COUNTY,CO,80455,110038448800,,40.138611,-105.370278,COX622014,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110038448800,,,
B N S F RR END TRACK 121 TRANSFER POSITION,WALNUT ST & 2 ST,STERLING,CO,80751,110046303745,,40.628,-103.203,COR900139,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046303745,,,
AYERS PIT,NO ADDRESS SHOWN,MORGAN COUNTY,CO,80723,110070054938,,40.3333,-103.708333,COG501762,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070054938,,,
AUTO CRUSHERS INC,2200 W RADCLIFFE AVE,SHERIDAN,CO,80110,110069707525,,39.63679,-105.0141,COR901422,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069707525,,,
AULT READY MIX LLLP,15415 HIGHWAY 14,AULT,CO,80610,110023149813,327320,40.58255,-104.76344,COR900899,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110023149813,,,
ATLAS MOLDED PRODUCTS,5250 N SHERMAN ST,DENVER,CO,80216,110071339275,,39.79136,-104.98442,COR901616,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110071339275,,,
STERLING FUELING POSITIONS,HWY 138 AND RIGHT OF WAY RD,STERLING,CO,80751,110054115667,,40.643,-103.191,COR900816,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110054115667,,,
"STERLING ETHANOL, LLC",450 ANGUS AVENUE,STERLING,CO,80751,110022421912,325193,40.6375,-103.190556,CO0047066 COR900161,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110022421912,0.37,,
STEIR FUEL & OIL,100 S 12 ST,ROCKY FORD,CO,81067,110044221810,,38.05045,-103.7164,COR900005,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044221810,,,
STEAMBOAT SPRINGS CITY OF,VARIOUS LOCATIONS,STEAMBOAT SPRINGS,CO,81639,110044271846,,40.497,-106.831,COR090087,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110044271846,,,
STATE PIT,36 LANE,PUEBLO,CO,81006,110070053371,,38.204875,-104.456199,COG501765,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070053371,,,
STARWOOD MOUNTAIN RANCH,770 KESSLER DR,ASPEN,CO,81612,110070818132,,39.245,-106.847222,COX634061,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070818132,,,
STAR STEEL & SUPPLY CO,14513 ESTRELLA RD,ALAMOSA,CO,81101,110046317151,,37.368055,-105.923611,COR901025,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110046317151,,,
BENSON PIT,HWY 40 AND CR 5105 W OF TOWN,FRASER,CO,80442,110070072899,,39.9625,-105.846666,COG502138,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072899,,,
BENSON BROTHERS RED SHALE PIT,O 50 LAND AND WARD CREEK RD,CEDAREDGE,CO,81413,110070072823,,38.939444,-107.968888,COG501945,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072823,,,
BENSON BROTHERS PIG MESA PIT,FAIRVIEW AND 900 RD,ORCHARD CITY,CO,81410,110070072812,,38.7833,-108.006666,COG501928,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072812,,,
BENNETT TOWN OF,47300 E 38 AVE,BENNETT,CO,80102,110064103884,,39.7672,-104.43318,COE037000 COG589069 COG591069,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110064103884,,,
BEN DELATOUR SCOUT RANCH,2331 CR 68C,RED FEATHER LAKES,CO,80545,110055188372,,40.747074,-105.498615,COX631054,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110055188372,,,
BELVEDERE STONE QUARRY,HWY 67 AND RAINBOW FALLS RD,DOUGLAS COUNTY,CO,80126,110070063522,,39.142747,-105.092441,COG501766,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070063522,,,
BEEDLE QUARRY AKA YEVOLI COBBLESTONE PIT,CR 835 CC,FLORENCE,CO,81226,110070072832,,38.338542,-105.07109,COG501963,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072832,,,
BEAR RANCH LLC,26767 CR 112,SOMERSET,CO,81434,110056996354,,38.953,-107.280444,CO0048900 COL631047 COR03K504,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110056996354,0.016,,
BCT COLORADO,2001 S NAVAJO ST,DENVER,CO,80223,110069995985,,39.68028,-105.0041,COR901318,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110069995985,,,
BATES PIT,CR GG AND CR 31 1/4 MI N,PROWERS COUNTY,CO,81047,110070072794,,38.0758,-102.19,COG501905,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072794,,,
BATES HUNTER MINE,422 GREGORY ST,CENTRAL CITY,CO,80427,110006781143,,39.800376,-105.499111,CO0043168,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110006781143,0.432,,
BASE PRODUCTS,62339 W LASALLE RD,MONTROSE,CO,81401,110070072753,,38.50374,-107.92515,COG501789,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072753,,,
STAGE STOP PIT,SH 114 NEAR CR CC 36,SAGUACHE COUNTY,CO,81149,110070072761,,38.1342,-106.341388,COG501845,Failure to Report DMR - Not Received,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072761,,,
ST. MARYS GLACIER WSD,7599 FALL RIVER ROAD,IDAHO SPRINGS,CO,80452,110006781438,,39.80993,-105.63947,CO0023094 COR409842,Effluent - Monthly Average Limit,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110006781438,0.6,,
ST VRAIN VALLEY SCHOOL DIST MS4,VARIOUS LOCATIONS,BOULDER COUNTY,CO,80301,110043760098,,40.154,-105.107,COR070016,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110043760098,,,
SPRINGS FABRICATION INC,850 AEROPLAZA DR,COLORADO SPRINGS,CO,80916,110001727481,332999 332312,38.81431,-104.72421,CONOX0343 COR901294,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110001727481,,,
SPRAGUE STONE QUARRY,7853-8479 N CR 27,LOVELAND,CO,80538,110070072897,,40.478328,-105.214586,COG502128,Violation Identified,,,Y,12,https://echo.epa.gov/detailed-facility-report?fid = 110070072897,,,
